Stock,Open Price,Close Price,Final Value,Profit/Loss
EL,144.33999633789062,137.3000030517578,95.12263165806611,-4.877368341933888
EL,136.7100067138672,134.80999755859375,98.61019013827558,-1.389809861724416
EL,133.74000549316406,125.83000183105469,94.08553661042455,-5.914463389575445
EL,126.25,130.8000030517578,103.60396281327353,3.603962813273526
EL,130.77000427246094,134.1199951171875,102.56174255202043,2.5617425520204335
EL,159.4600067138672,143.33999633789062,89.89087564451061,-10.109124355489385
EL,143.9199981689453,146.3699951171875,101.70233253155422,1.7023325315542195
EL,144.0,149.99000549316406,104.15972603691948,4.15972603691948
EL,149.0,148.8300018310547,99.88590726916422,-0.11409273083577887
EL,148.5500030517578,149.5,100.63951324720685,0.6395132472068497
EL,150.0800018310547,149.75,99.78011605341918,-0.219883946580822
EL,149.27999877929688,143.17999267578125,95.91371506337283,-4.086284936627166
EL,143.82000732421875,154.14999389648438,107.1825796455276,7.182579645527596
EL,154.17999267578125,144.42999267578125,93.67622229655771,-6.323777703442289
EL,144.75999450683594,138.8000030517578,95.88284631027899,-4.1171536897210075
EL,140.63999938964844,144.41000366210938,102.68060600741045,2.6806060074104465
EL,145.3699951171875,147.4499969482422,101.430832978551,1.4308329785509954
EL,148.22000122070312,132.94000244140625,89.69100077354298,-10.308999226457018
EL,133.0,132.0,99.24812030075188,-0.7518796992481214
EL,132.99000549316406,134.75,101.32340358984827,1.3234035898482688
EL,134.4499969482422,126.05999755859375,93.75976230562634,-6.240237694373661
EL,126.0199966430664,123.36000061035156,97.88922702462142,-2.1107729753785804
EL,124.83000183105469,120.47000122070312,96.50724942209614,-3.4927505779038626
EL,120.0999984741211,113.9000015258789,94.83763777933923,-5.162362220660768
EL,112.91999816894531,113.8499984741211,100.82359220709901,0.8235922070990114
EL,113.8499984741211,106.4000015258789,93.45630474475972,-6.54369525524028
EL,108.37000274658203,106.3499984741211,98.13601160721143,-1.8639883927885705
EL,106.58999633789062,103.36000061035156,96.96970087389818,-3.0302991261018235
EL,102.33000183105469,99.18000030517578,96.92172239859869,-3.078277601401311
EL,98.88999938964844,100.72000122070312,101.85054286818638,1.8505428681863805
